filename,class,bbox
test_00057_img.jpg,Proba2,"(671, 6, 988, 433)"
test_00058_img.jpg,LisaPathfinder,"(560, 289, 846, 528)"
test_00059_img.jpg,Proba2,"(451, 279, 1007, 1011)"
test_00060_img.jpg,VenusExpress,"(446, 394, 723, 599)"
test_00061_img.jpg,Smart1,"(310, 316, 468, 945)"
test_00062_img.jpg,Soho,"(229, 596, 427, 962)"
test_00063_img.jpg,XMM Newton,"(690, 135, 1017, 415)"
test_00064_img.jpg,LisaPathfinder,"(847, 182, 1020, 390)"
test_00065_img.jpg,Soho,"(463, 363, 632, 548)"
test_00066_img.jpg,ObservationSat1,"(160, 51, 459, 447)"
test_00067_img.jpg,XMM Newton,"(219, 148, 1011, 508)"
test_00068_img.jpg,Proba2,"(121, 390, 602, 715)"
test_00069_img.jpg,Smart1,"(464, 399, 670, 775)"
test_00070_img.jpg,LisaPathfinder,"(6, 263, 400, 662)"
test_00071_img.jpg,Cheops,"(690, 338, 959, 630)"
test_00072_img.jpg,ObservationSat1,"(492, 196, 809, 1011)"
test_00073_img.jpg,Proba3ocs,"(357, 3, 681, 250)"
test_00074_img.jpg,Proba2,"(660, 342, 931, 571)"
test_00075_img.jpg,Proba3ocs,"(607, 697, 943, 1018)"
test_00076_img.jpg,XMM Newton,"(355, 7, 490, 492)"
test_00077_img.jpg,Proba3ocs,"(404, 407, 625, 610)"
test_00078_img.jpg,Cheops,"(221, 594, 552, 975)"
test_00079_img.jpg,ObservationSat1,"(431, 232, 789, 550)"
test_00080_img.jpg,LisaPathfinder,"(387, 1, 625, 128)"
test_00081_img.jpg,Smart1,"(397, 276, 773, 696)"
test_00082_img.jpg,ObservationSat1,"(283, 131, 605, 492)"
test_00083_img.jpg,LisaPathfinder,"(728, 529, 949, 712)"
test_00084_img.jpg,XMM Newton,"(273, 314, 1008, 908)"
test_00085_img.jpg,Soho,"(368, 424, 605, 555)"
test_00086_img.jpg,Cheops,"(562, 90, 895, 343)"
test_00087_img.jpg,Soho,"(694, 592, 830, 833)"
test_00088_img.jpg,Smart1,"(12, 351, 824, 617)"
test_00089_img.jpg,Proba3ocs,"(5, 81, 310, 415)"
test_00090_img.jpg,Soho,"(712, 300, 1006, 631)"
test_00091_img.jpg,Proba3ocs,"(345, 4, 700, 295)"
test_00092_img.jpg,Proba2,"(624, 374, 901, 620)"
test_00093_img.jpg,Soho,"(879, 505, 1014, 638)"
test_00094_img.jpg,Proba2,"(563, 493, 762, 791)"
test_00095_img.jpg,Cheops,"(289, 182, 559, 456)"
test_00096_img.jpg,ObservationSat1,"(469, 89, 1015, 366)"
test_00097_img.jpg,ObservationSat1,"(59, 195, 485, 556)"
test_00098_img.jpg,ObservationSat1,"(519, 279, 989, 526)"
test_00099_img.jpg,Proba3ocs,"(187, 48, 573, 442)"
test_00100_img.jpg,Proba3ocs,"(160, 324, 419, 584)"
test_00101_img.jpg,Smart1,"(432, 527, 833, 592)"
test_00102_img.jpg,Proba3ocs,"(224, 324, 494, 588)"
test_00103_img.jpg,Soho,"(167, 83, 405, 509)"
test_00104_img.jpg,Proba2,"(472, 322, 759, 493)"
test_00105_img.jpg,Proba3ocs,"(735, 272, 1018, 518)"
test_00106_img.jpg,Smart1,"(427, 219, 1014, 310)"
test_00107_img.jpg,XMM Newton,"(490, 428, 948, 1014)"
test_00108_img.jpg,ObservationSat1,"(656, 81, 936, 441)"
test_00109_img.jpg,Smart1,"(419, 421, 506, 506)"
test_00110_img.jpg,Cheops,"(435, 562, 684, 846)"
test_00111_img.jpg,Smart1,"(286, 476, 394, 606)"
test_00112_img.jpg,VenusExpress,"(370, 161, 852, 393)"
test_00113_img.jpg,Proba2,"(593, 298, 956, 664)"
test_00114_img.jpg,Smart1,"(109, 444, 752, 767)"
test_00115_img.jpg,LisaPathfinder,"(159, 80, 429, 391)"
test_00116_img.jpg,XMM Newton,"(665, 107, 1017, 398)"
test_00117_img.jpg,XMM Newton,"(571, 321, 1015, 634)"
test_00118_img.jpg,Cheops,"(707, 379, 1018, 694)"
test_00119_img.jpg,VenusExpress,"(653, 276, 905, 590)"
test_00120_img.jpg,Soho,"(376, 432, 657, 609)"
test_00121_img.jpg,Proba3ocs,"(162, 444, 411, 697)"
test_00122_img.jpg,XMM Newton,"(576, 615, 1016, 965)"
test_00123_img.jpg,Proba2,"(458, 185, 879, 611)"
test_00124_img.jpg,Proba3ocs,"(694, 246, 940, 509)"
test_00125_img.jpg,Proba3ocs,"(276, 111, 564, 399)"
test_00126_img.jpg,VenusExpress,"(424, 563, 604, 729)"
test_00127_img.jpg,VenusExpress,"(505, 271, 980, 506)"
test_00128_img.jpg,Soho,"(390, 438, 782, 812)"
test_00129_img.jpg,Proba2,"(346, 415, 510, 718)"
test_00130_img.jpg,ObservationSat1,"(201, 67, 504, 315)"
test_00131_img.jpg,Soho,"(671, 272, 896, 744)"
test_00132_img.jpg,Cheops,"(563, 610, 915, 1016)"
test_00133_img.jpg,VenusExpress,"(414, 399, 847, 596)"
test_00134_img.jpg,ObservationSat1,"(222, 404, 444, 799)"
test_00135_img.jpg,Proba3,"(546, 438, 762, 765)"
test_00136_img.jpg,Smart1,"(793, 160, 884, 458)"
test_00137_img.jpg,Proba3,"(455, 481, 642, 860)"
test_00138_img.jpg,Smart1,"(765, 185, 1002, 743)"
test_00139_img.jpg,Smart1,"(9, 123, 571, 418)"
test_00140_img.jpg,Proba3,"(296, 334, 700, 594)"
test_00141_img.jpg,Proba3ocs,"(146, 2, 365, 159)"
test_00142_img.jpg,XMM Newton,"(428, 438, 699, 841)"
test_00143_img.jpg,ObservationSat1,"(48, 535, 640, 989)"
test_00144_img.jpg,Smart1,"(198, 158, 590, 285)"
test_00145_img.jpg,Proba2,"(352, 214, 679, 441)"
test_00146_img.jpg,VenusExpress,"(525, 502, 957, 680)"
test_00147_img.jpg,Proba3ocs,"(622, 334, 889, 586)"
test_00148_img.jpg,Proba2,"(483, 10, 1015, 702)"
test_00149_img.jpg,Proba3,"(627, 189, 1016, 496)"
test_00150_img.jpg,Cheops,"(740, 352, 949, 612)"
test_00151_img.jpg,ObservationSat1,"(472, 196, 801, 466)"
test_00152_img.jpg,ObservationSat1,"(570, 131, 882, 415)"
test_00153_img.jpg,Proba3ocs,"(422, 261, 756, 646)"
test_00154_img.jpg,LisaPathfinder,"(699, 411, 911, 650)"
test_00155_img.jpg,Cheops,"(381, 501, 700, 783)"
test_00156_img.jpg,Proba3ocs,"(514, 21, 734, 251)"
test_00157_img.jpg,Proba3,"(443, 142, 599, 345)"
test_00158_img.jpg,Smart1,"(257, 352, 765, 800)"
test_00159_img.jpg,Proba2,"(308, 385, 650, 652)"
test_00160_img.jpg,ObservationSat1,"(727, 371, 1018, 744)"
test_00161_img.jpg,Soho,"(698, 561, 926, 823)"
test_00162_img.jpg,Proba3,"(300, 562, 596, 947)"
test_00163_img.jpg,ObservationSat1,"(304, 434, 592, 712)"
test_00164_img.jpg,XMM Newton,"(293, 359, 624, 860)"
test_00165_img.jpg,VenusExpress,"(417, 198, 732, 488)"
test_00166_img.jpg,Soho,"(553, 68, 667, 241)"
test_00167_img.jpg,XMM Newton,"(862, 106, 1005, 537)"
test_00168_img.jpg,ObservationSat1,"(307, 544, 866, 830)"
test_00169_img.jpg,Proba3ocs,"(619, 652, 813, 850)"
test_00170_img.jpg,Soho,"(525, 4, 672, 266)"
test_00171_img.jpg,VenusExpress,"(447, 624, 864, 859)"
test_00172_img.jpg,Proba3,"(447, 391, 666, 786)"
test_00173_img.jpg,Proba3,"(5, 368, 294, 780)"
test_00174_img.jpg,Proba3ocs,"(159, 401, 483, 742)"
test_00175_img.jpg,Smart1,"(367, 338, 482, 696)"
test_00176_img.jpg,VenusExpress,"(322, 194, 495, 467)"
test_00177_img.jpg,Proba3ocs,"(297, 30, 632, 350)"
test_00178_img.jpg,Smart1,"(450, 180, 811, 283)"
test_00179_img.jpg,LisaPathfinder,"(498, 407, 696, 590)"
test_00180_img.jpg,XMM Newton,"(551, 428, 1016, 695)"
test_00181_img.jpg,LisaPathfinder,"(610, 87, 855, 318)"
test_00182_img.jpg,Proba3ocs,"(5, 788, 346, 1019)"
test_00183_img.jpg,VenusExpress,"(586, 365, 804, 861)"
test_00184_img.jpg,LisaPathfinder,"(347, 753, 811, 1018)"
test_00185_img.jpg,Proba3ocs,"(596, 354, 813, 591)"
test_00186_img.jpg,LisaPathfinder,"(218, 321, 495, 615)"
test_00187_img.jpg,LisaPathfinder,"(288, 387, 655, 763)"
test_00188_img.jpg,Soho,"(732, 54, 983, 343)"
test_00189_img.jpg,Smart1,"(339, 484, 689, 562)"
test_00190_img.jpg,LisaPathfinder,"(38, 502, 431, 897)"
test_00191_img.jpg,ObservationSat1,"(521, 186, 1015, 464)"
test_00192_img.jpg,Proba3,"(245, 557, 643, 781)"
test_00193_img.jpg,Proba3ocs,"(775, 92, 1019, 331)"
test_00194_img.jpg,LisaPathfinder,"(190, 19, 415, 241)"
test_00195_img.jpg,XMM Newton,"(369, 474, 685, 701)"
test_00196_img.jpg,Proba2,"(79, 6, 672, 424)"
test_00197_img.jpg,VenusExpress,"(451, 50, 656, 736)"
test_00198_img.jpg,VenusExpress,"(295, 279, 495, 420)"
test_00199_img.jpg,Soho,"(171, 242, 526, 544)"
test_00200_img.jpg,Cheops,"(282, 192, 579, 540)"
test_00201_img.jpg,Cheops,"(101, 7, 669, 475)"
test_00202_img.jpg,Smart1,"(300, 483, 567, 775)"
test_00203_img.jpg,VenusExpress,"(172, 563, 962, 838)"
test_00204_img.jpg,Cheops,"(503, 4, 854, 289)"
test_00205_img.jpg,LisaPathfinder,"(185, 509, 474, 767)"
test_00206_img.jpg,VenusExpress,"(537, 290, 656, 548)"
test_00207_img.jpg,Cheops,"(625, 202, 890, 433)"
test_00208_img.jpg,LisaPathfinder,"(708, 702, 1018, 1018)"
test_00209_img.jpg,Proba3,"(245, 478, 495, 814)"
test_00210_img.jpg,VenusExpress,"(561, 361, 967, 487)"
test_00211_img.jpg,Proba3,"(512, 604, 739, 844)"
test_00212_img.jpg,Proba2,"(437, 5, 704, 359)"
test_00213_img.jpg,Proba3ocs,"(218, 144, 589, 511)"
test_00214_img.jpg,Proba3ocs,"(223, 154, 454, 399)"
test_00215_img.jpg,Proba3ocs,"(141, 308, 403, 596)"
test_00216_img.jpg,Proba2,"(618, 340, 816, 573)"
test_00217_img.jpg,VenusExpress,"(230, 373, 743, 846)"
test_00218_img.jpg,VenusExpress,"(295, 309, 489, 509)"
test_00219_img.jpg,LisaPathfinder,"(419, 297, 651, 531)"
test_00220_img.jpg,LisaPathfinder,"(272, 2, 476, 199)"
test_00221_img.jpg,Smart1,"(629, 512, 849, 651)"
test_00222_img.jpg,LisaPathfinder,"(585, 786, 1016, 1019)"
test_00223_img.jpg,ObservationSat1,"(471, 313, 934, 967)"
test_00224_img.jpg,LisaPathfinder,"(383, 3, 606, 235)"
test_00225_img.jpg,LisaPathfinder,"(527, 357, 735, 496)"
test_00226_img.jpg,Soho,"(579, 293, 761, 381)"
test_00227_img.jpg,XMM Newton,"(250, 174, 1004, 490)"
test_00228_img.jpg,Proba2,"(579, 145, 883, 492)"
test_00229_img.jpg,Proba2,"(415, 336, 907, 702)"
test_00230_img.jpg,Proba3,"(143, 730, 629, 1018)"
test_00231_img.jpg,Proba3ocs,"(702, 200, 1017, 534)"
test_00232_img.jpg,Proba3,"(242, 119, 566, 390)"
test_00233_img.jpg,Smart1,"(233, 215, 795, 587)"
test_00234_img.jpg,Proba3,"(642, 6, 918, 415)"
test_00235_img.jpg,Soho,"(769, 324, 898, 495)"
test_00236_img.jpg,LisaPathfinder,"(656, 276, 815, 513)"
test_00237_img.jpg,Proba3ocs,"(448, 3, 708, 238)"
test_00238_img.jpg,Proba3ocs,"(104, 676, 514, 1017)"
test_00239_img.jpg,Cheops,"(504, 107, 704, 301)"
test_00240_img.jpg,ObservationSat1,"(357, 576, 609, 855)"
test_00241_img.jpg,Proba2,"(739, 345, 939, 700)"
test_00242_img.jpg,Cheops,"(709, 221, 1011, 493)"
test_00243_img.jpg,XMM Newton,"(549, 3, 806, 224)"
test_00244_img.jpg,Smart1,"(595, 291, 661, 714)"
test_00245_img.jpg,Cheops,"(350, 344, 652, 635)"
test_00246_img.jpg,XMM Newton,"(546, 110, 949, 386)"
test_00247_img.jpg,Proba3,"(180, 520, 501, 1015)"
test_00248_img.jpg,Soho,"(511, 631, 688, 829)"
test_00249_img.jpg,Proba3ocs,"(246, 271, 453, 487)"
test_00250_img.jpg,Proba3,"(384, 5, 716, 376)"
test_00251_img.jpg,Smart1,"(595, 12, 992, 822)"
test_00252_img.jpg,Proba3ocs,"(398, 655, 646, 911)"
test_00253_img.jpg,Proba3ocs,"(401, 380, 597, 599)"
test_00254_img.jpg,Soho,"(254, 309, 351, 595)"
test_00255_img.jpg,LisaPathfinder,"(689, 605, 903, 812)"
test_00256_img.jpg,ObservationSat1,"(558, 472, 890, 810)"
test_00257_img.jpg,ObservationSat1,"(252, 146, 492, 415)"
test_00258_img.jpg,Soho,"(394, 133, 711, 565)"
test_00259_img.jpg,Soho,"(358, 97, 741, 277)"
test_00260_img.jpg,Soho,"(226, 703, 622, 1018)"
test_00261_img.jpg,XMM Newton,"(578, 392, 808, 765)"
test_00262_img.jpg,XMM Newton,"(595, 7, 1016, 468)"
test_00263_img.jpg,XMM Newton,"(565, 313, 841, 443)"
test_00264_img.jpg,Cheops,"(197, 339, 558, 703)"
test_00265_img.jpg,Soho,"(463, 450, 749, 586)"
test_00266_img.jpg,VenusExpress,"(662, 158, 817, 447)"
test_00267_img.jpg,Smart1,"(350, 311, 515, 597)"
test_00268_img.jpg,Proba3,"(638, 7, 949, 469)"
test_00269_img.jpg,Proba3ocs,"(477, 620, 703, 863)"
test_00270_img.jpg,Proba3,"(647, 232, 914, 793)"
test_00271_img.jpg,Soho,"(624, 281, 889, 403)"
test_00272_img.jpg,LisaPathfinder,"(416, 352, 673, 622)"
test_00273_img.jpg,LisaPathfinder,"(611, 214, 803, 411)"
test_00274_img.jpg,Cheops,"(774, 72, 1019, 404)"
test_00275_img.jpg,ObservationSat1,"(23, 18, 480, 553)"
test_00276_img.jpg,Smart1,"(638, 5, 865, 365)"
test_00277_img.jpg,Smart1,"(515, 551, 1007, 645)"
test_00278_img.jpg,Smart1,"(637, 223, 952, 608)"
test_00279_img.jpg,LisaPathfinder,"(464, 97, 764, 411)"
test_00280_img.jpg,ObservationSat1,"(516, 341, 919, 939)"
test_00281_img.jpg,XMM Newton,"(642, 605, 1017, 757)"
test_00282_img.jpg,VenusExpress,"(596, 391, 773, 865)"
test_00283_img.jpg,Proba3,"(6, 9, 365, 599)"
test_00284_img.jpg,ObservationSat1,"(323, 381, 617, 820)"
test_00285_img.jpg,Proba3ocs,"(339, 122, 572, 347)"
test_00286_img.jpg,LisaPathfinder,"(524, 324, 734, 599)"
test_00287_img.jpg,LisaPathfinder,"(6, 318, 394, 824)"
test_00288_img.jpg,Proba3,"(525, 67, 878, 280)"
test_00289_img.jpg,Proba3,"(531, 124, 793, 622)"
test_00290_img.jpg,LisaPathfinder,"(328, 271, 608, 585)"
test_00291_img.jpg,LisaPathfinder,"(474, 420, 776, 706)"
test_00292_img.jpg,Smart1,"(131, 98, 630, 712)"
test_00293_img.jpg,Proba3,"(197, 263, 749, 611)"
test_00294_img.jpg,XMM Newton,"(632, 311, 1017, 653)"
test_00295_img.jpg,ObservationSat1,"(499, 545, 970, 927)"
test_00296_img.jpg,ObservationSat1,"(249, 198, 703, 457)"
test_00297_img.jpg,Cheops,"(419, 361, 717, 648)"
test_00298_img.jpg,XMM Newton,"(172, 17, 505, 493)"
test_00299_img.jpg,Smart1,"(736, 505, 880, 689)"
test_00300_img.jpg,VenusExpress,"(630, 165, 937, 358)"
test_00301_img.jpg,VenusExpress,"(253, 169, 496, 519)"
test_00302_img.jpg,VenusExpress,"(52, 488, 699, 716)"
test_00303_img.jpg,Proba3,"(74, 6, 610, 389)"
test_00304_img.jpg,Proba3ocs,"(249, 269, 610, 640)"
test_00305_img.jpg,XMM Newton,"(14, 318, 824, 840)"
test_00306_img.jpg,LisaPathfinder,"(709, 332, 1018, 701)"
test_00307_img.jpg,Soho,"(387, 322, 739, 586)"
test_00308_img.jpg,VenusExpress,"(371, 598, 864, 881)"
test_00309_img.jpg,ObservationSat1,"(112, 501, 499, 993)"
test_00310_img.jpg,Smart1,"(376, 190, 738, 353)"
test_00311_img.jpg,Cheops,"(718, 196, 1018, 509)"
test_00312_img.jpg,Cheops,"(273, 189, 621, 540)"
test_00313_img.jpg,Proba3,"(278, 253, 602, 502)"
test_00314_img.jpg,Cheops,"(690, 401, 958, 694)"
test_00315_img.jpg,Proba3,"(284, 367, 692, 957)"
test_00316_img.jpg,ObservationSat1,"(507, 10, 914, 696)"
test_00317_img.jpg,ObservationSat1,"(402, 287, 626, 497)"
test_00318_img.jpg,Smart1,"(258, 350, 679, 576)"
test_00319_img.jpg,Cheops,"(677, 4, 896, 284)"
test_00320_img.jpg,Proba3,"(206, 174, 587, 485)"
test_00321_img.jpg,Proba3ocs,"(446, 252, 663, 468)"
test_00322_img.jpg,Smart1,"(434, 196, 801, 818)"
test_00323_img.jpg,LisaPathfinder,"(676, 2, 960, 203)"
test_00324_img.jpg,Soho,"(427, 223, 530, 348)"
test_00325_img.jpg,Proba3,"(382, 556, 941, 913)"
test_00326_img.jpg,ObservationSat1,"(530, 317, 853, 670)"
test_00327_img.jpg,ObservationSat1,"(464, 614, 819, 987)"
test_00328_img.jpg,ObservationSat1,"(413, 352, 699, 856)"
test_00329_img.jpg,Smart1,"(10, 199, 643, 414)"
test_00330_img.jpg,XMM Newton,"(229, 556, 537, 818)"
test_00331_img.jpg,Cheops,"(634, 243, 879, 466)"
test_00332_img.jpg,Proba3ocs,"(646, 5, 1017, 326)"
test_00333_img.jpg,Proba3ocs,"(806, 208, 1019, 513)"
test_00334_img.jpg,Smart1,"(11, 230, 702, 367)"
test_00335_img.jpg,VenusExpress,"(578, 267, 942, 383)"
test_00336_img.jpg,Soho,"(895, 437, 1021, 638)"
test_00337_img.jpg,ObservationSat1,"(258, 278, 603, 461)"
test_00338_img.jpg,Proba3ocs,"(165, 164, 439, 403)"
test_00339_img.jpg,Soho,"(368, 155, 489, 394)"
test_00340_img.jpg,LisaPathfinder,"(623, 632, 827, 818)"
test_00341_img.jpg,Smart1,"(324, 446, 1012, 666)"
test_00342_img.jpg,LisaPathfinder,"(256, 517, 467, 707)"
test_00343_img.jpg,LisaPathfinder,"(114, 393, 628, 898)"
test_00344_img.jpg,ObservationSat1,"(280, 404, 564, 650)"
test_00345_img.jpg,ObservationSat1,"(465, 119, 901, 354)"
test_00346_img.jpg,Proba3,"(192, 315, 586, 596)"
test_00347_img.jpg,Cheops,"(559, 419, 876, 787)"
test_00348_img.jpg,Soho,"(224, 14, 408, 354)"
test_00349_img.jpg,Soho,"(773, 399, 1019, 642)"
test_00350_img.jpg,Soho,"(804, 175, 964, 409)"
test_00351_img.jpg,LisaPathfinder,"(713, 147, 921, 407)"
test_00352_img.jpg,ObservationSat1,"(583, 109, 971, 569)"
test_00353_img.jpg,Soho,"(538, 162, 797, 347)"
test_00354_img.jpg,VenusExpress,"(271, 345, 555, 524)"
test_00355_img.jpg,Smart1,"(69, 397, 654, 1004)"
test_00356_img.jpg,VenusExpress,"(577, 176, 869, 433)"
test_00357_img.jpg,VenusExpress,"(556, 532, 831, 893)"
test_00358_img.jpg,ObservationSat1,"(622, 203, 921, 864)"
test_00359_img.jpg,Smart1,"(334, 458, 669, 621)"
test_00360_img.jpg,Smart1,"(313, 141, 479, 473)"
test_00361_img.jpg,LisaPathfinder,"(243, 528, 469, 748)"
test_00362_img.jpg,ObservationSat1,"(23, 129, 489, 887)"
test_00363_img.jpg,Proba2,"(531, 78, 925, 400)"
test_00364_img.jpg,Cheops,"(62, 6, 575, 407)"
test_00365_img.jpg,LisaPathfinder,"(432, 432, 684, 683)"
test_00366_img.jpg,Proba3,"(219, 8, 524, 526)"
test_00367_img.jpg,VenusExpress,"(128, 537, 645, 788)"
test_00368_img.jpg,VenusExpress,"(309, 449, 721, 782)"
test_00369_img.jpg,Proba3ocs,"(271, 2, 477, 183)"
test_00370_img.jpg,Proba3ocs,"(814, 385, 1008, 586)"
test_00371_img.jpg,XMM Newton,"(242, 459, 575, 685)"
test_00372_img.jpg,ObservationSat1,"(577, 497, 1016, 807)"
test_00373_img.jpg,XMM Newton,"(591, 599, 1016, 983)"
test_00374_img.jpg,Proba3ocs,"(661, 19, 969, 332)"
test_00375_img.jpg,Proba2,"(418, 147, 705, 426)"
test_00376_img.jpg,VenusExpress,"(240, 367, 859, 553)"
test_00377_img.jpg,Proba2,"(405, 476, 727, 688)"
test_00378_img.jpg,Proba3,"(555, 584, 816, 842)"
test_00379_img.jpg,Proba3ocs,"(340, 430, 595, 687)"
test_00380_img.jpg,Cheops,"(464, 16, 683, 211)"
test_00381_img.jpg,Smart1,"(282, 555, 1023, 686)"
test_00382_img.jpg,Smart1,"(440, 302, 813, 672)"
test_00383_img.jpg,LisaPathfinder,"(290, 103, 538, 304)"
test_00384_img.jpg,ObservationSat1,"(402, 97, 853, 347)"
test_00385_img.jpg,Cheops,"(344, 39, 723, 459)"
test_00386_img.jpg,Cheops,"(500, 498, 818, 882)"
test_00387_img.jpg,Proba3,"(289, 431, 515, 722)"
test_00388_img.jpg,LisaPathfinder,"(805, 151, 1000, 420)"
test_00389_img.jpg,Proba3ocs,"(712, 613, 898, 860)"
test_00390_img.jpg,Cheops,"(58, 4, 424, 320)"
test_00391_img.jpg,ObservationSat1,"(303, 415, 678, 629)"
test_00392_img.jpg,Cheops,"(464, 18, 894, 399)"
test_00393_img.jpg,VenusExpress,"(156, 448, 447, 658)"
test_00394_img.jpg,Soho,"(287, 128, 526, 360)"
test_00395_img.jpg,Proba2,"(326, 452, 905, 954)"
test_00396_img.jpg,Cheops,"(433, 317, 691, 605)"
test_00397_img.jpg,Smart1,"(487, 134, 675, 442)"
test_00398_img.jpg,Proba3,"(14, 552, 711, 966)"
test_00399_img.jpg,Cheops,"(207, 304, 595, 638)"
test_00400_img.jpg,Proba3,"(449, 399, 664, 783)"
test_00401_img.jpg,Smart1,"(720, 174, 835, 828)"
test_00402_img.jpg,Cheops,"(501, 608, 876, 939)"
test_00403_img.jpg,Proba3ocs,"(456, 4, 785, 269)"
test_00404_img.jpg,LisaPathfinder,"(560, 574, 826, 777)"
test_00405_img.jpg,LisaPathfinder,"(708, 337, 917, 472)"
test_00406_img.jpg,Soho,"(757, 383, 1018, 531)"
test_00407_img.jpg,Proba3,"(8, 62, 512, 427)"
test_00408_img.jpg,Soho,"(286, 281, 549, 481)"
test_00409_img.jpg,Cheops,"(594, 480, 960, 779)"
test_00410_img.jpg,ObservationSat1,"(263, 14, 558, 317)"
test_00411_img.jpg,Cheops,"(7, 5, 432, 375)"
test_00412_img.jpg,Proba3,"(211, 17, 652, 365)"
test_00413_img.jpg,Proba3ocs,"(218, 514, 494, 742)"
test_00414_img.jpg,Proba3,"(283, 104, 592, 334)"
test_00415_img.jpg,Proba2,"(622, 113, 936, 554)"
test_00416_img.jpg,VenusExpress,"(298, 7, 734, 466)"
test_00417_img.jpg,ObservationSat1,"(482, 67, 782, 841)"
test_00418_img.jpg,Proba2,"(466, 393, 669, 808)"
test_00419_img.jpg,ObservationSat1,"(438, 417, 678, 658)"
test_00420_img.jpg,Soho,"(824, 162, 974, 399)"
test_00421_img.jpg,Proba3ocs,"(491, 413, 826, 719)"
test_00422_img.jpg,Smart1,"(511, 494, 779, 560)"
test_00423_img.jpg,XMM Newton,"(236, 320, 544, 900)"
test_00424_img.jpg,Cheops,"(175, 196, 455, 432)"
test_00425_img.jpg,Proba2,"(439, 322, 893, 664)"
test_00426_img.jpg,Smart1,"(284, 404, 544, 839)"
test_00427_img.jpg,XMM Newton,"(240, 290, 502, 908)"
test_00428_img.jpg,Proba3,"(152, 191, 646, 685)"
